CRN,Course,Area of LLC,Days,Time,Location,Seats Still Available,STATUS
8960,ACCT 200,,MWF,1200-1250,FORBES 2074,0,0
8961,ACCT 200,,MWF,1400-1450,TRIB 208,3,1
8962,ACCT 201,,MWF,1400-1450,LUTR 170,14,1
8963,ACCT 201,,MWF,1000-1050,FORBES 3012,0,0
8964,ACCT 201,,MWF,1300-1350,LUTR 170,7,1
8965,ACCT 202,,TR,0930-1045,LUTR 242,0,0
8966,ACCT 202,,MWF,0900-0950,FORBES 3014,0,0
8967,ACCT 202,,MWF,1100-1150,LUTR 242,0,0
8968,ACCT 202,,MWF,1000-1050,LUTR 242,0,0
8969,ACCT 202,,TR,1100-1215,LUTR 242,0,0
8970,ACCT 301,,MWF,1000-1050,FERG 208,14,1
8971,ACCT 302,,MWF,1100-1150,FORBES 2070C,1,1
8974,ACCT 307,  WI,MWF,0900-0950,LUTR 347,0,0
9268,ACCT 307,  WI,MWF,0900-0950,LUTR 347,4,1
9199,ACCT 401,,TR,1330-1445,LUTR 242,0,0
8972,ACCT 404,,,,ARR ,0,0
8973,ACCT 552,,MW,1600-1715,LUTR 269,5,1
9207,ACCT 595,,MW,1800-1915,FORBES 2090,6,1
8372,AMST 100,  AIDE  ,MWF,1200-1250,MCM 257,0,0
8373,AMST 100,  AIDE  ,MWF,1300-1350,MCM 257,0,0
8374,AMST 100,  AIDE  ,MW,1600-1715,MCM 114,0,0
8375,AMST 100,  AIDE  ,MWF,1400-1450,MCM 160,0,0
8376,AMST 100,  AIDE  ,MWF,1500-1550,MCM 160,0,0
8377,AMST 100,  AIDE  ,MWF,0900-0950,TFAC 205,0,0
8378,AMST 100,  AIDE  ,MWF,1000-1050,TFAC 205,0,0
8379,AMST 120,  AIDE,TR,1100-1215,MCM 210,0,0
8380,AMST 120,  AIDE,TR,0930-1045,MCM 210,0,0
8381,AMST 120,  AIDE,TR,1630-1745,MCM 114,0,0
8382,AMST 200,  AIWT,MWF,1000-1050,MCM 310,0,0
8383,AMST 200,  AIWT,MWF,1100-1150,MCM 310,0,0
8384,AMST 300,  AIGM,TR,1930-2045,LUTR 131,0,0
8385,AMST 330,,TR,1330-1445,MCM 210,0,0
9141,AMST 395,,TR,1800-1915,LUTR 131,11,1
9167,AMST 395,,TR,1500-1615,MCM 114,0,0
8386,AMST 490,  WI,TR,1330-1445,MCM 300B,1,1
8724,ANTH 200,  AINW,TR,1330-1445,LUTR 170,0,0
8725,ANTH 200,  AINW,TR,1500-1615,LUTR 170,1,1
8726,ANTH 203,  AIGM,TR,1330-1445,LUTR 347,0,0
8727,ANTH 203,  AIGM,TR,1500-1615,LUTR 347,0,0
9158,ANTH 388,,TR,1330-1445,LUTR 157,0,0
9142,ANTH 395,,MWF,1400-1450,FORBES 3012,0,0
9053,ARAB 102,,MWF,1000-1050,TFAC 204,0,0
9054,ARAB 102,,MWF,1200-1250,MCM 312,0,0
9055,ARAB 202,  LLFL,MWF,1300-1350,MCM 312,6,1
9212,BASN 134,,,,ARR ,0,0
9213,BASN 232,,,,ARR ,0,0
8533,BCHM 410,,MWF,1100-1150,FORBES 2015,10,1
8534,BCHM 415,,MWF,0900-0950,FORBES 3012,20,1
8535,BCHM 415L,,T,1330-1720,FORBES 3048,8,1
8479,BIOL 108,  AINW,TR,1800-1915,FORBES 1022,0,0
8481,BIOL 109L,  AINW,M,1400-1550,FORBES 1027,0,0
8482,BIOL 109L,  AINW,M,1600-1750,FORBES 1027,1,1
8483,BIOL 109L,  AINW,M,1800-1950,FORBES 1027,0,0
8484,BIOL 109L,  AINW,T,1800-1950,FORBES 1027,0,0
8485,BIOL 109L,  AINW,R,1800-1950,FORBES 1027,1,1
8486,BIOL 109L,  AINW,M,2000-2150,FORBES 1027,0,0
8487,BIOL 109L,  AINW,T,2000-2150,FORBES 1027,0,0
8488,BIOL 109L,  AINW,R,2000-2150,FORBES 1027,0,0
8536,BIOL 113,  AINW,MW,1600-1715,FORBES 2070D,0,0
8480,BIOL 115,  AINW,MWF,1200-1250,FORBES 1022,0,0
8537,BIOL 211,,MWF,0800-0850,FORBES 2015,22,1
8538,BIOL 211,,MWF,0900-0950,FORBES 2070E,0,0
8540,BIOL 211,,TR,1100-1215,FORBES 2070D,0,0
8541,BIOL 211L,,M,1300-1650,FORBES 1009,0,0
8542,BIOL 211L,,T,0800-1150,FORBES 1009,16,1
8543,BIOL 211L,,W,1800-2150,FORBES 1009,1,1
8544,BIOL 211L,,T,1800-2150,FORBES 1009,0,0
8545,BIOL 211L,,W,1300-1650,FORBES 1009,14,1
8546,BIOL 211L,,T,1330-1720,FORBES 1009,0,0
8489,BIOL 212,,MWF,0800-0850,FORBES 1022,17,1
8490,BIOL 212,,TR,0930-1045,FORBES 2070E,0,0
