CRN,Course,Days,Time,Location,Seats Still Available,STATUS
8960,ACCT 200,MWF,1200-1250,FORBES 2074,0,Closed
8961,ACCT 200,MWF,1400-1450,TRIB 208,3,Open
8962,ACCT 201,MWF,1400-1450,LUTR 170,14,Open
8963,ACCT 201,MWF,1000-1050,FORBES 3012,0,Closed
8964,ACCT 201,MWF,1300-1350,LUTR 170,7,Open
8965,ACCT 202,TR,0930-1045,LUTR 242,0,Closed
8966,ACCT 202,MWF,0900-0950,FORBES 3014,0,Closed
8967,ACCT 202,MWF,1100-1150,LUTR 242,0,Closed
8968,ACCT 202,MWF,1000-1050,LUTR 242,0,Closed
8969,ACCT 202,TR,1100-1215,LUTR 242,0,Closed
8970,ACCT 301,MWF,1000-1050,FERG 208,14,Open
8971,ACCT 302,MWF,1100-1150,FORBES 2070C,1,Open
8974,ACCT 307,MWF,0900-0950,LUTR 347,0,Closed
9268,ACCT 307,MWF,0900-0950,LUTR 347,4,Open
9199,ACCT 401,TR,1330-1445,LUTR 242,0,Closed
8972,ACCT 404,,,ARR ,0,Closed
8973,ACCT 552,MW,1600-1715,LUTR 269,5,Open
9207,ACCT 595,MW,1800-1915,FORBES 2090,6,Open
8372,AMST 100,MWF,1200-1250,MCM 257,0,Closed
8373,AMST 100,MWF,1300-1350,MCM 257,0,Closed
8374,AMST 100,MW,1600-1715,MCM 114,0,Closed
8375,AMST 100,MWF,1400-1450,MCM 160,0,Closed
8376,AMST 100,MWF,1500-1550,MCM 160,0,Closed
8377,AMST 100,MWF,0900-0950,TFAC 205,0,Closed
8378,AMST 100,MWF,1000-1050,TFAC 205,0,Closed
8379,AMST 120,TR,1100-1215,MCM 210,0,Closed
8380,AMST 120,TR,0930-1045,MCM 210,0,Closed
8381,AMST 120,TR,1630-1745,MCM 114,0,Closed
8382,AMST 200,MWF,1000-1050,MCM 310,0,Closed
8383,AMST 200,MWF,1100-1150,MCM 310,0,Closed
8384,AMST 300,TR,1930-2045,LUTR 131,0,Closed
8385,AMST 330,TR,1330-1445,MCM 210,0,Closed
9141,AMST 395,TR,1800-1915,LUTR 131,11,Open
9167,AMST 395,TR,1500-1615,MCM 114,0,Closed
8386,AMST 490,TR,1330-1445,MCM 300B,1,Open
8724,ANTH 200,TR,1330-1445,LUTR 170,0,Closed
8725,ANTH 200,TR,1500-1615,LUTR 170,0,Closed
8726,ANTH 203,TR,1330-1445,LUTR 347,0,Closed
8727,ANTH 203,TR,1500-1615,LUTR 347,0,Closed
9158,ANTH 388,TR,1330-1445,LUTR 157,0,Closed
9142,ANTH 395,MWF,1400-1450,FORBES 3012,0,Closed
9053,ARAB 102,MWF,1000-1050,TFAC 204,0,Closed
9054,ARAB 102,MWF,1200-1250,MCM 312,0,Closed
9055,ARAB 202,MWF,1300-1350,MCM 312,6,Open
9212,BASN 134,,,ARR ,0,Closed
9213,BASN 232,,,ARR ,0,Closed
8533,BCHM 410,MWF,1100-1150,FORBES 2015,10,Open
8534,BCHM 415,MWF,0900-0950,FORBES 3012,20,Open
8535,BCHM 415L,T,1330-1720,FORBES 3048,8,Open
8479,BIOL 108,TR,1800-1915,FORBES 1022,0,Closed
8481,BIOL 109L,M,1400-1550,FORBES 1027,0,Closed
8482,BIOL 109L,M,1600-1750,FORBES 1027,1,Open
8483,BIOL 109L,M,1800-1950,FORBES 1027,0,Closed
8484,BIOL 109L,T,1800-1950,FORBES 1027,0,Closed
8485,BIOL 109L,R,1800-1950,FORBES 1027,1,Open
8486,BIOL 109L,M,2000-2150,FORBES 1027,0,Closed
8487,BIOL 109L,T,2000-2150,FORBES 1027,0,Closed
8488,BIOL 109L,R,2000-2150,FORBES 1027,0,Closed
8536,BIOL 113,MW,1600-1715,FORBES 2070D,0,Closed
8480,BIOL 115,MWF,1200-1250,FORBES 1022,0,Closed
8537,BIOL 211,MWF,0800-0850,FORBES 2015,22,Open
8538,BIOL 211,MWF,0900-0950,FORBES 2070E,0,Closed
8540,BIOL 211,TR,1100-1215,FORBES 2070D,0,Closed
8541,BIOL 211L,M,1300-1650,FORBES 1009,0,Closed
8542,BIOL 211L,T,0800-1150,FORBES 1009,16,Open
8543,BIOL 211L,W,1800-2150,FORBES 1009,1,Open
8544,BIOL 211L,T,1800-2150,FORBES 1009,0,Closed
8545,BIOL 211L,W,1300-1650,FORBES 1009,14,Open
8546,BIOL 211L,T,1330-1720,FORBES 1009,0,Closed
8489,BIOL 212,MWF,0800-0850,FORBES 1022,17,Open
8490,BIOL 212,TR,0930-1045,FORBES 2070E,0,Closed
8491,BIOL 212,TR,1100-1215,FORBES 2070E,0,Closed
8492,BIOL 212L,W,0900-1250,FORBES 1027,3,Open
8493,BIOL 212L,R,1330-1720,FORBES 1002,0,Closed
8494,BIOL 212L,T,1330-1720,FORBES 1002,6,Open
8495,BIOL 212L,W,1330-1720,FORBES 1027,0,Closed
8496,BIOL 212L,T,1330-1720,FORBES 1027,13,Open
8497,BIOL 213,MWF,0900-0950,FORBES 1033,0,Closed
8498,BIOL 213,MWF,0900-0950,FORBES 1039,5,Open
8499,BIOL 213,MWF,1100-1150,FORBES 2070D,22,Open
8500,BIOL 213,MWF,1100-1150,FORBES 2070E,34,Open
8501,BIOL 213L,T,0800-1150,FORBES 1033,6,Open
8502,BIOL 213L,T,0800-1150,FORBES 1039,14,Open
8503,BIOL 213L,M,1300-1650,FORBES 1033,6,Open
8504,BIOL 213L,M,1300-1650,FORBES 1039,8,Open
8505,BIOL 213L,W,1300-1650,FORBES 1033,8,Open
8506,BIOL 213L,W,1300-1650,FORBES 1039,19,Open
8547,BIOL 250,MW,1800-1915,FORBES 1022,26,Open
8548,BIOL 285,TR,0930-1045,FORBES 2015,10,Open
8549,BIOL 285L,R,1330-1720,FORBES 2056,0,Closed
8550,BIOL 285L,R,1800-2150,FORBES 2056,11,Open
9143,BIOL 295,MWF,1300-1350,FORBES 2070D,13,Open
9177,BIOL 295,W,1300-1350,TFAC 219,0,Closed
8551,BIOL 300,TR,0800-0915,FORBES 2090,0,Closed
9174,BIOL 300L,TR,1100-1215,FORBES 2090,8,Open
8552,BIOL 301,MWF,0900-0950,MCM 114,0,Closed
8553,BIOL 301L,T,1330-1720,FORBES 1015,3,Open
8554,BIOL 301L,W,1300-1650,FORBES 1015,7,Open
8555,BIOL 313,TR,1800-1915,MCM 101,16,Open
8556,BIOL 315,TR,0930-1045,MCM 164,35,Open
8557,BIOL 315,TR,1100-1215,FORBES 2015,0,Closed
8558,BIOL 315L,T,1330-1720,FORBES 2056,8,Open
8559,BIOL 315L,W,1300-1650,FORBES 2056,5,Open
8560,BIOL 315L,W,1800-2150,FORBES 2056,0,Closed
8561,BIOL 315L,T,1800-2150,FORBES 2056,0,Closed
8563,BIOL 326,MWF,1000-1050,FORBES 2070E,0,Closed
8507,BIOL 365,TR,1100-1215,FORBES 1027,0,Closed
8508,BIOL 391,M,0900-0950,FORBES 2051,0,Closed
8567,BIOL 391,F,1100-1150,FORBES 1002,0,Closed
8568,BIOL 391,F,0900-0950,FORBES 2012,0,Closed
8569,BIOL 391,F,1000-1050,FORBES 1002,0,Closed
8509,BIOL 391,W,0900-0950,FORBES 2051,3,Open
8510,BIOL 391,F,0900-0950,FORBES 2051,3,Open
8511,BIOL 391,M,1000-1050,FORBES 2051,3,Open
8512,BIOL 391,W,1000-1050,FORBES 2051,1,Open
8513,BIOL 391,F,1000-1050,FORBES 2051,4,Open
8564,BIOL 391,M,0900-0950,FORBES 2012,0,Closed
8565,BIOL 391,W,0900-0950,FORBES 2012,0,Closed
8566,BIOL 391,W,1000-1050,FORBES 1002,0,Closed
8514,BIOL 409,MWF,1200-1250,FORBES 2043,0,Closed
8515,BIOL 409L,R,1330-1720,FORBES 1039,0,Closed
8570,BIOL 412,TR,0930-1045,FORBES 1015,3,Open
8571,BIOL 412L,M,1300-1650,FORBES 1015,3,Open
8572,BIOL 424L,,,ARR ,0,Closed
8573,BIOL 426,MWF,0800-0850,FORBES 2070C,4,Open
8574,BIOL 426L,T,1330-1720,FORBES 1055,4,Open
8516,BIOL 430,MWF,1000-1050,FORBES 2043,0,Closed
8517,BIOL 435,TR,0930-1045,FORBES 2051,4,Open
8518,BIOL 435L,T,1330-1720,FORBES 2051,4,Open
